Source,Target,Weight
Clifford Brown,Max Roach,8
Count Basie,Joe Pass,8
Count Basie,Ray Brown,8
Dizzy Gillespie,Oscar Peterson,8
Donald Byrd,Art Taylor,8
Ernie Royal,Julius Watkins,8
Ernie Royal,Milt Hinton,8
Ernie Royal,Zoot Sims,8
Freddie Hubbard,George Cables,8
Freddie Hubbard,James Spaulding,8
Freddie Hubbard,Ron Carter,8
Horace Silver,Art Farmer,8
Horace Silver,Blue Mitchell,8
Horace Silver,Donald Byrd,8
Jackie McLean,Paul Chambers,8
Jaco Pastorius,Herbie Hancock,8
Jimmy Giuffre,Jim Hall,8
Jimmy Smith,Phil Woods,8
Larry Bunker,Shelly Manne,8
Mal Waldron,John Coltrane,8
Michael Brecker,Pat Metheny,8
Miles Davis,Ron Carter,8
Milt Jackson,Hank Jones,8
Oliver Nelson,Clark Terry,8
Oliver Nelson,Ernie Royal,8
Oscar Peterson,Ben Webster,8
Oscar Peterson,Milt Jackson,8
Quentin Jackson,Jimmy Hamilton,8
Quentin Jackson,Johnny Hodges,8
Quentin Jackson,Melba Liston,8
Quentin Jackson,Ray Nance,8
Quentin Jackson,Russell Procope,8
Sam Woodyard,Clark Terry,8
Sam Woodyard,Ray Nance,8
Stanley Turrentine,Blue Mitchell,8
Stanley Turrentine,McCoy Tyner,8
Art Blakey,Oscar Pettiford,7
Bill Evans,Philly Joe Jones,7
Buddy Rich,"Harry ""Sweets"" Edison",7
Cannonball Adderley,Jimmy Cobb,7
Charlie Haden,Paul Motian,7
Clifford Jordan,Billy Higgins,7
Dizzy Gillespie,Clark Terry,7
Donald Byrd,Herbie Hancock,7
Ella Fitzgerald,Ed Thigpen,7
Ernie Royal,Melba Liston,7
Ernie Royal,Quentin Jackson,7
Ernie Royal,Richard Davis,7
Freddie Hubbard,Joe Henderson,7
Freddie Hubbard,Louis Hayes,7
Freddie Hubbard,Reggie Workman,7
George Duvivier,Frank Wess,7
George Duvivier,Ray Bryant,7
Horace Silver,Kenny Clarke,7
Horace Silver,Ron Carter,7
Jackie McLean,Kenny Drew,7
Jimmy Smith,Jerome Richardson,7
Joe Pass,Ray Brown,7
Johnny Hodges,Billy Strayhorn,7
Lou Donaldson,Blue Mitchell,7
Mal Waldron,Kenny Burrell,7
Mal Waldron,Paul Chambers,7
McCoy Tyner,Bobby Hutcherson,7
McCoy Tyner,Elvin Jones,7
McCoy Tyner,Hubert Laws,7
Miles Davis,Herbie Hancock,7
Milt Jackson,Tommy Flanagan,7
Nat Adderley,Cannonball Adderley,7
Nat Adderley,Jimmy Cobb,7
Oscar Peterson,Barney Kessel,7
Quentin Jackson,Billy Strayhorn,7
Quentin Jackson,Paul Gonsalves,7
Quentin Jackson,Sam Woodyard,7
Quentin Jackson,Thad Jones,7
Sonny Rollins,Jack DeJohnette,7
Sonny Rollins,Max Roach,7
Stan Levey,Stan Kenton,7
Wayne Shorter,Ron Carter,7
Wendell Marshall,Ray Bryant,7
Willie Cook,Paul Gonsalves,7
Art Blakey,Cecil Payne,6
Art Blakey,Curtis Fuller,6
Art Blakey,Donald Byrd,6
Art Blakey,Wynton Kelly,6
Art Farmer,Gigi Gryce,6
Art Farmer,Jerome Richardson,6
Art Farmer,Julius Watkins,6
Art Farmer,Phil Woods,6
Ben Webster,Ray Brown,6
Bill Evans,Jim Hall,6
Bill Evans,Larry Bunker,6
Blue Mitchell,Junior Cook,6
Bud Powell,George Duvivier,6
Bud Powell,Leonard Feather,6
Buddy Rich,Oscar Peterson,6
Buddy Rich,Ray Brown,6
Charles Mingus,Clifford Jordan,6
Charlie Parker,Max Roach,6
Chick Corea,Hubert Laws,6
Chick Corea,Roy Haynes,6
Dizzy Gillespie,Melba Liston,6
Dizzy Gillespie,Wynton Kelly,6
Donald Byrd,Doug Watkins,6
Ella Fitzgerald,Herb Ellis,6
Ella Fitzgerald,Oscar Peterson,6
Ella Fitzgerald,Roy Eldridge,6
Elvin Jones,Richard Davis,6
Ernie Royal,Gil Evans,6
Freddie Hubbard,Herbie Hancock,6
George Duvivier,Coleman Hawkins,6
George Duvivier,Roy Haynes,6
George Duvivier,Tommy Flanagan,6
Gerry Mulligan,Mel Lewis,6
Gerry Mulligan,Zoot Sims,6
Gigi Gryce,Donald Byrd,6
Gil Evans,Johnny Coles,6
"Harry ""Sweets"" Edison",Oscar Peterson,6
Herbie Hancock,Freddie Hubbard,6
Horace Silver,Kenny Dorham,6
Horace Silver,Lou Donaldson,6
Jackie McLean,Billy Higgins,6
Jimmy Smith,Art Blakey,6
Jimmy Smith,Jimmy Cleveland,6
Joe Henderson,Ron Carter,6
Joe Pass,Oscar Peterson,6
John Coltrane,Art Davis,6
John Coltrane,Freddie Hubbard,6
John Coltrane,Louis Hayes,6
John Coltrane,Reggie Workman,6
Johnny Hodges,Jimmy Woode,6
Johnny Hodges,Sam Woodyard,6
Kenny Burrell,Ron Carter,6
Larry Bunker,Bill Evans,6
Lee Morgan,Hank Mobley,6
Lee Morgan,Jackie McLean,6
Mal Waldron,Pepper Adams,6
McCoy Tyner,Al Foster,6
McCoy Tyner,Louis Hayes,6
Miles Davis,Chick Corea,6
Milt Jackson,Oscar Peterson,6
Milt Jackson,Ron Carter,6
Oliver Nelson,Hank Jones,6
Oliver Nelson,Roy Haynes,6
Ornette Coleman,Billy Higgins,6
Oscar Peterson,Count Basie,6
Oscar Peterson,"Harry ""Sweets"" Edison",6
Pepper Adams,George Mraz,6
Quentin Jackson,Frank Wess,6
Quentin Jackson,Jimmy Woode,6
Quentin Jackson,Kenny Burrell,6
Sam Woodyard,Billy Strayhorn,6
Sam Woodyard,Russell Procope,6
Stan Getz,Billy Hart,6
Stan Getz,Ray Brown,6
Stan Levey,Stan Getz,6
Stanley Turrentine,Freddie Hubbard,6
Stanley Turrentine,Hubert Laws,6
Stanley Turrentine,Kenny Burrell,6
Wendell Marshall,Clark Terry,6
Wendell Marshall,Donald Byrd,6
Wendell Marshall,Frank Wess,6
Wendell Marshall,Oliver Nelson,6
Willie Cook,Jimmy Hamilton,6
Willie Cook,Johnny Hodges,6
Willie Cook,Ray Nance,6
Willie Cook,Russell Procope,6
Art Blakey,Doug Watkins,5
Art Blakey,John Coltrane,5
Art Blakey,Kenny Burrell,5
Art Blakey,Kenny Dorham,5
Art Blakey,Wendell Marshall,5
Art Farmer,Hank Jones,5
Art Farmer,Kenny Clarke,5
Art Farmer,Louis Hayes,5
Art Farmer,Philly Joe Jones,5
Art Pepper,Billy Higgins,5
Art Pepper,Elvin Jones,5
Benny Carter,Barney Kessel,5
Billy Higgins,Cedar Walton,5
Bob Brookmeyer,Jim Hall,5
Bob Brookmeyer,Mel Lewis,5
Bobby Hutcherson,Freddie Hubbard,5
Cannonball Adderley,Paul Chambers,5
Cannonball Adderley,Wynton Kelly,5
Charles Mingus,Mal Waldron,5
Charlie Parker,Miles Davis,5
Chick Corea,Airto Moreira,5
Chick Corea,Jack DeJohnette,5
Clifford Jordan,Julian Priester,5
Coleman Hawkins,Wendell Marshall,5
Count Basie,Oscar Peterson,5
Curtis Fuller,Paul Chambers,5
David Murray,James Spaulding,5
Dizzy Gillespie,Benny Golson,5
Dizzy Gillespie,Max Roach,5
Dizzy Gillespie,Roy Eldridge,5
Donald Byrd,Gigi Gryce,5
Donald Byrd,Hank Mobley,5
Duke Ellington,Johnny Coles,5
Duke Ellington,Wendell Marshall,5
Ella Fitzgerald,Ray Brown,5
Elvin Jones,George Coleman,5
Elvin Jones,Pepper Adams,5
Elvin Jones,Thad Jones,5
Ernie Royal,Al Grey,5
Ernie Royal,Art Farmer,5
Ernie Royal,Dizzy Gillespie,5
Ernie Royal,Nat Adderley,5
Ernie Royal,Pepper Adams,5
Freddie Hubbard,Cedar Walton,5
Freddie Hubbard,Jack DeJohnette,5
Freddie Hubbard,Wayne Shorter,5
George Duvivier,Bob Brookmeyer,5
George Duvivier,Count Basie,5
George Duvivier,Julius Watkins,5
George Duvivier,Thad Jones,5
Gigi Gryce,Art Taylor,5
Gil Evans,Jimmy Knepper,5
Horace Silver,Al Foster,5
Horace Silver,Paul Chambers,5
J. J. Johnson,Hank Jones,5
Jack DeJohnette,Dave Holland,5
Jackie McLean,Doug Watkins,5
Jackie McLean,Mal Waldron,5
Jimmy Smith,Quentin Jackson,5
Jimmy Smith,Richard Davis,5
Joe Henderson,Jack DeJohnette,5
John Coltrane,Curtis Fuller,5
John Coltrane,Donald Byrd,5
John Coltrane,Wynton Kelly,5
Johnny Hodges,Ray Nance,5
Kenny Burrell,Doug Watkins,5
Kenny Burrell,Jerome Richardson,5
Larry Bunker,Barney Kessel,5
Larry Bunker,Mel Lewis,5
Larry Bunker,Ray Brown,5
Larry Bunker,Stan Kenton,5
Lee Morgan,Cedar Walton,5
Lee Morgan,Reggie Workman,5
Lee Morgan,Wayne Shorter,5
Mal Waldron,Charles Mingus,5
Mal Waldron,Frank Wess,5
Max Roach,Art Davis,5
Max Roach,Stanley Turrentine,5
McCoy Tyner,Jack DeJohnette,5
Michael Brecker,Herbie Hancock,5
Michael Brecker,Jack DeJohnette,5
Miles Davis,Al Foster,5
Miles Davis,Dave Holland,5
Miles Davis,Jack DeJohnette,5
Miles Davis,Jimmy Cobb,5
Miles Davis,Paul Chambers,5
Milt Jackson,Kenny Clarke,5
Oliver Nelson,Jimmy Cleveland,5
Oscar Peterson,Coleman Hawkins,5
Oscar Peterson,Freddie Green,5
Oscar Peterson,Lester Young,5
Paul Motian,Charlie Haden,5
Pepper Adams,Doug Watkins,5
Quentin Jackson,Duke Ellington,5
Quentin Jackson,Oliver Nelson,5
Quentin Jackson,Richard Davis,5
Red Garland,Ron Carter,5
Ron Carter,Billy Cobham,5
Ron Carter,Hubert Laws,5
Roy Eldridge,Dizzy Gillespie,5
Roy Eldridge,Ray Brown,5
Sonny Rollins,Tommy Flanagan,5
Stan Getz,Herb Ellis,5
Stan Kenton,Larry Bunker,5
Stan Kenton,Shelly Manne,5
Stan Levey,Herb Ellis,5
Stan Levey,Ray Brown,5
Stanley Turrentine,Billy Cobham,5
Stanley Turrentine,Pepper Adams,5
Teddy Wilson,Jo Jones,5
Tommy Flanagan,Elvin Jones,5
Wendell Marshall,Coleman Hawkins,5
Wendell Marshall,Gigi Gryce,5
Wendell Marshall,Jimmy Hamilton,5
Wendell Marshall,Kenny Burrell,5
Wes Montgomery,Jimmy Cobb,5
Willie Cook,Clark Terry,5
Willie Cook,Sam Woodyard,5
